# BEAST v1.9.0 Prerelease #0fccb02
# Generated Thu Aug 03 15:35:20 PDT 2017 [seed=666]
# -seed 666 -overwrite examples/TestXML/testMvnNuts_2D.xml
state	likelihood.hmc	draw1	draw2
0	-5.346754705900414	2.0	1.0
1000	-6.011583883074718	-2.1538660061654635	8.670616732087062
2000	-8.042368259847814	5.855194452740612	19.731147144227528
3000	-5.7862539338130325	0.663677522179207	11.88780650557284
4000	-5.315960774230261	1.6928909240398562	2.2005874866520325
5000	-5.925700748127109	-1.2129952645896571	10.821322351800582
6000	-6.361581222299672	-3.438052980433862	6.123367641682307
7000	-6.579570156098035	-1.2454733049065974	-12.392414196688572
8000	-5.786299931836114	-2.1395619944028432	2.5835666372851396
9000	-5.93795621696009	-2.112100632174433	7.69109820369761
10000	-6.547608764332138	-3.785040412647969	6.7121857114933885
11000	-6.651521112900081	-2.3171051935965137	14.724834487964229
12000	-5.297626389712277	1.0658395541872947	3.063479333798629
13000	-5.619048329529692	3.094100844704184	-2.6482406615780825
14000	-7.193478782215671	3.0541714660238175	-16.38881755700423
15000	-5.61831440202857	3.2203307839070856	6.001656072924918
16000	-5.438129006591128	-0.6791963502743505	3.038198589093545
17000	-5.697570405383259	-1.83203987047686	1.0208975452675126
18000	-6.924621655133761	0.06028688190309617	19.82534101787215
19000	-7.753149744335372	-3.410984051304247	-15.254309742159702
20000	-5.9201982519204295	-2.060057613724842	-3.6611998031203132
21000	-5.909525568427065	3.6374732865174346	-5.34789215587705
22000	-5.956258165163722	0.13855933919108931	-9.201780739316082
23000	-5.72632213587868	3.618720743205038	6.28211427763551
24000	-5.811544131786463	-0.9154221700125558	-6.201796405876809
25000	-5.930868223350093	-2.4060845486669575	-1.4363620244756028
26000	-5.8525585245134755	-2.279330593616973	-0.14957491153248537
27000	-5.707615001188051	-1.5347114492928182	6.350222723696625
28000	-8.03086429811956	-4.063556507439728	-15.07120011608666
29000	-5.365999744571025	1.1521523934544327	-1.8232844814090203
30000	-5.292017617705657	0.9297166585981396	2.0564347433991834
31000	-7.541641831040933	-1.1671176288272704	22.07519456584081
32000	-6.1107993388551245	4.903058091852407	-1.386783416044877
33000	-7.228056734455349	0.7345021497671214	21.661015096535685
34000	-6.845719347859408	-0.39612648750325885	19.067549229479813
35000	-6.116792385555766	-0.4992453136506122	13.938600036270472
36000	-5.8142552317194625	-2.2291590740512532	1.5252138286195018
37000	-5.788368280314986	-2.1200191725520536	0.5937573068668671
